signing_date,description,amount,execution_deadline,exection_place,publication_date,id,cpvs_id,cpvs_description,contract_types,object_description,contract_fundamentation,direct_award_fundamentation,contracted_id,contracted_nif,contracted_name,contracting_id,contracting_nif,contracting_name,observations,close_date,cause_deadline_change,total_price,cause_price_change
2013-09-03,Contrato de Aquisição de Títulos de Transporte,38500.00,120 dias (3 meses e 28 dias),"Portugal, Lisboa, Amadora",2013-09-09,825842,34980000-0,Títulos de transporte,Aquisição de bens móveis,"O objeto do presente contrato consiste na aquisição de títulos de transporte, de tipologias diversas e atentas as necessidades sentidas pelos estabelecimentos escolares do Município da Amadora, nos termos previstos nas Claúsulas Técnicas descritas na Parte II do Caderno de Encargos instrutor deste procedimento.","Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",ausência de recursos próprios,22115,500297150,"Vimeca Transportes - Viação Mecânica de Carnaxide, Lda",1998,505456010,Município da Amadora,,,,,
2013-08-21,Fornecimento de Produtos Químicos para Piscinas,24929.15,365 dias (1 ano),"Portugal, Guarda, Vila Nova de Foz Coa",2013-09-09,825841,24962000-5,Produtos químicos para tratamento da água,Aquisição de bens móveis,Fornecimento de Produtos Químicos para Piscinas,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",ausência de recursos próprios,8081,507785606,"TOTAMAT - Comércio e Distribuição, Unipessoal, Lda.",304,506829197,Município de Vila Nova de Foz Côa,,,,,
2013-09-09,Aquisição de balastros eletrónicos 4500072816,4139.10,15 dias (15 dias),"Portugal, Lisboa, Lisboa",2013-09-09,825840,31150000-2,Balastros para lâmpadas ou tubos de descarga,Aquisição de bens móveis,Contrato de aquisição de balastros eletrónicos Proc 3121/2013,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",Não aplicável,188563,501671650,"ANSOMA - Representações Industriais, Lda. ",4446,502937327,"EMEF - Empresa de Manutenção de  Equipamento Ferroviário, S.A.",,,,,
2013-08-29,Serviços de Desenvolvimento e Manutenção Aplicacional de Prescrição Eletrónica de Cuidados Respiratórios Domiciliários,57038.40,180 dias (5 meses e 27 dias),Portugal,2013-09-09,825838,72500000-0,Serviços relacionados com a informática,Aquisição de serviços,"ONVITE PARA APRESENTAÇÃO DE PROPOSTA AO ABRIGO DO ACORDO QUADRO n.º 20120117, DE SERVIÇOS DE CONSULTADORIA, DESENVOLVIMENTO E MANUTENÇÃO DE SOFTWARE E GESTÃO OPERACIONAL DOS SISTEMAS E BASES DE DADOS, CELEBRADO PELA SPMS, EPE - Serviços de Desenvolvimento e Manutenção Aplicacional de Prescrição Eletrónica de Cuidados Respiratórios Domiciliários",Artigo 259.º do Código dos Contratos Públicos,Não aplicável,66465,504272179,"Altranportugal, S.A.",190896,509540716,"Serviço Partilhados do Ministério da Saúde, E. P. E.",,,,,
2013-08-12,AG3-006-13,10680.00,60 dias (1 mês e 29 dias),"Portugal, Lisboa, Lisboa",2013-09-09,825822,79200000-6,"Serviços de contabilidade, de auditoria e fiscais",Aquisição de serviços,"Contrato plurianual para três anos, prestação de serviços de exame e certificação das contas do CPJ.","Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",Auditoria externa de revisão e certificação legal de contas do CPJ.,1244,504629603,"UHY & ASSOCIADOS, SROC, LDA",195,502104511,Centro Protocolar de Formação Profissional para o Sector da Justiça,,,,,
2013-08-26,AS-2776/2013 ,4620.00,127 dias (4 meses e 5 dias),"Portugal, Faro, Faro",2013-09-09,825818,33181000-2,Material de assistência à função renal,Aquisição de bens móveis,Material de consumo clinico - Kit Prisma plasma filtro para Equipamento Prisma TPE 2000,"Artigo 24.º, n.º 1, alínea e) do Código dos Contratos Públicos",Não aplicável,14169,980367751,Gambro Lundia AB- Sucursal em Portugal,450005,510745997,"Centro Hospitalar do Algarve, E. P. E.",,,,,
2013-09-06,Fornecimento e colocação de guardas de segurança na Rua do Corisco - Freguesia de Parada de Cunhos,9005.00,30 dias (30 dias),"Portugal, Vila Real, Vila Real",2013-09-09,825817,45233140-2,Obras em estradas,Empreitadas de obras públicas,Fornecimento e colocação de guardas de segurança na Rua do Corisco - Freguesia de Parada de Cunhos,"Artigo 19.º, alínea a) do Código dos Contratos Públicos",ausência de recursos próprios,11433,504117025,"Pontarca - Sociedade de Construção Civil, Lda",369,506359670,Município de Vila Real,,,,,
2013-02-20,AQ134/2013 - MEDICAMENTOS ANTIMICROBIANOS II,314339.75,314 dias (10 meses e 9 dias),"Portugal, Faro, Faro",2013-09-09,825809,33690000-3,Medicamentos vários,Aquisição de bens móveis,MEDICAMENTOS ANTIMICROBIANOS II,Artigo 258.º do Código dos Contratos Públicos,ACORDO QUADRO AO ABRIGO DO ARTIGO 259º DO CCP,9767,980334934,Actavis,450005,510745997,"Centro Hospitalar do Algarve, E. P. E.",,,,,
2013-08-09,Processo 13100108-Aquisição de reagente para determinação do tempo de protrombina,138760.80,180 dias (5 meses e 27 dias),"Portugal, Coimbra, Coimbra",2013-09-09,825804,33000000-0,"Equipamento médico, medicamentos e produtos para cuidados pessoais",Aquisição de bens móveis,Aquisição de reagente para determinação do tempo de protrombina,"Artigo 24.º, n.º 1, alínea e) do Código dos Contratos Públicos",Reposição de stock da Farmacia Central,270,504282921,"Roche Sistemas de Diagnóstico,Lda",3530,503122165,"Administração Regional de Saúde do Centro, I.P.",,,,,
2013-09-06,Aquisição de material diverso para motor diesel CUMMINS NTA 855-R3 450072598,12097.17,30 dias (30 dias),"Portugal, Lisboa, Lisboa | Portugal, Setúbal, Barreiro",2013-09-09,825798,34312000-7,Peças para motores,Aquisição de bens móveis,Contrato aquisição de material diverso para motor diesel CUMMINS NTA 855-R3 Proc 2675/2013,"Artigo 24.º, n.º 1, alínea e) do Código dos Contratos Públicos",ausência de recursos próprios,415,500092354,"Electro Central Vulcanizadora, Lda ",4446,502937327,"EMEF - Empresa de Manutenção de  Equipamento Ferroviário, S.A.",,,,,
